EinheitMastrNummer,Gemeindeschluessel,Landkreis,Gemeinde,Laengengrad,Breitengrad,Inbetriebnahmedatum,EinheitBetriebsstatus,Bruttoleistung,Nettonennleistung,Lage
SEE908880335116,14522230,Mittelsachsen,Hainichen,13.125703,50.936521,1999-05-11,35,600.000,600.000,888
SEE979210922238,06535012,Vogelsbergkreis,Lautertal (Vogelsberg),9.136820,50.555800,2000-09-30,35,1000.000,1000.000,888
SEE985309174150,15089043,Salzlandkreis,Börde-Hakel,11.451506,51.969020,2002-10-16,35,4500.000,4500.000,888
SEE933322512763,14522470,Mittelsachsen,Rechenberg-Bienenmühle,13.471195,50.749813,2017-02-24,35,2300.000,2300.000,888
SEE948488419276,06535012,Vogelsbergkreis,Lautertal (Vogelsberg),9.134289,50.558404,2000-09-30,37,1000.000,1000.000,888
SEE966557511317,12069249,Potsdam-Mittelmark,Groß Kreutz (Havel),12.686462,52.309150,2000-01-06,35,600.000,600.000,888
SEE973413517291,13071022,Mecklenburgische Seenplatte,Burow,13.289871,53.745185,2000-10-10,35,600.000,600.000,888
SEE953197565145,15003000,Magdeburg,Magdeburg,11.669651,52.200669,2000-11-29,35,1800.000,1800.000,888
SEE958469533532,01054014,Nordfriesland,Bordelum,9.019474,54.650238,2010-10-19,35,2300.000,2300.000,888
SEE911232122883,15003000,Magdeburg,Magdeburg,11.666287,52.201680,2000-11-28,35,1800.000,1800.000,888
SEE931235555600,05974048,Soest,Welver,8.019965,51.571940,2003-04-14,35,1800.000,1800.000,888
SEE979804426050,01051140,Dithmarschen,Oesterwurth,8.949125,54.233452,2011-12-29,35,2300.000,2300.000,888
SEE969946454332,05974048,Soest,Welver,8.020707,51.569654,2003-04-18,35,1800.000,1800.000,888
SEE957694598613,01054014,Nordfriesland,Bordelum,8.996980,54.644697,2002-12-30,35,1000.000,1000.000,888
SEE903267286050,05974048,Soest,Welver,8.016227,51.568645,2003-04-14,35,1800.000,1800.000,888
SEE974075603001,01051105,Dithmarschen,Schülp,8.946609,54.235273,2009-06-17,35,800.000,800.000,888
SEE984821481081,05974048,Soest,Welver,8.013216,51.573745,2005-08-24,35,1000.000,1000.000,888
SEE981769417462,06535012,Vogelsbergkreis,Lautertal (Vogelsberg),9.134091,50.556649,2000-09-30,35,1000.000,1000.000,888
SEE991154885349,06535012,Vogelsbergkreis,Lautertal (Vogelsberg),9.136908,50.557637,2000-09-30,37,1000.000,1000.000,888
SEE918649247246,01051140,Dithmarschen,Oesterwurth,8.946891,54.230610,2003-12-05,35,1750.000,1750.000,888
SEE963464000767,01054134,Nordfriesland,Tating,8.715268,54.343798,2016-03-04,35,2300.000,2300.000,888
SEE979251684218,01054134,Nordfriesland,Tating,8.715681,54.339676,2016-03-21,35,2300.000,2300.000,888
SEE925850175350,01054134,Nordfriesland,Tating,8.715206,54.341741,2016-03-30,35,2300.000,2300.000,888
SEE962533892098,05570040,Warendorf,Sendenhorst,7.781074,51.851534,2007-12-21,35,2000.000,2000.000,888
SEE916816503911,05570040,Warendorf,Sendenhorst,7.776937,51.850961,2007-12-21,35,2000.000,2000.000,888
SEE982244142671,05570040,Warendorf,Sendenhorst,7.774050,51.849249,2007-12-21,35,2000.000,2000.000,888
SEE932364580617,05570040,Warendorf,Sendenhorst,7.754896,51.849417,2007-12-21,35,2000.000,2000.000,888
SEE978746334805,05570040,Warendorf,Sendenhorst,7.755789,51.847565,2007-12-21,35,2000.000,2000.000,888
SEE961979411559,05570040,Warendorf,Sendenhorst,7.784528,51.851031,2007-12-21,35,2000.000,2000.000,888
SEE919611034970,09475181,Hof,Töpen,,,2019-07-09,35,29.800,29.800,888
SEE926878059295,01051105,Dithmarschen,Schülp,8.949231,54.235498,2003-12-18,35,1500.000,1500.000,888
SEE997402401569,15088216,Saalekreis,Wettin-Löbejün,11.827193,51.616120,2013-05-29,35,2300.000,2300.000,888
SEE974988536854,15088216,Saalekreis,Wettin-Löbejün,11.819811,51.616828,2013-06-19,35,2300.000,2300.000,888
SEE928095759163,13071158,Mecklenburgische Seenplatte,Werder,13.327151,53.716814,2013-09-23,35,7580.000,7580.000,888
SEE985040458144,13071158,Mecklenburgische Seenplatte,Werder,13.331088,53.723238,2013-09-27,35,7500.000,7500.000,888
SEE918864447445,05512000,Bottrop,Bottrop,6.981833,51.509889,2016-03-03,35,3120.000,3120.000,888
SEE933282493096,13071158,Mecklenburgische Seenplatte,Werder,13.338125,53.727346,2013-09-23,35,7580.000,7580.000,888
SEE905545877998,07336090,Kusel,Rutsweiler an der Lauter,7.647888,49.585505,2020-09-30,35,3450.000,3450.000,888
SEE930809816437,03352062,Cuxhaven,Geestland,8.702132,53.652986,2007-12-21,35,6000.000,6000.000,888
