AGS,Turbine_Count,Total_Bruttoleistung_kW,Total_Nettoleistung_kW,Landkreis_Names
09162,3,5001,5001,München
09163,1,20,20,Rosenheim
09173,1,9.9,9.9,Bad Tölz-Wolfratshausen
09174,9,20528,20528,Dachau
09175,6,2314.9,2314.9,Ebersberg
09176,53,120153.47,120153.47,Eichstätt
09177,13,96.28,96.28,Erding
09178,3,5330,5330,Freising
09179,3,6106,6106,Fürstenfeldbruck
09181,8,16007.3,16007.3,Landsberg am Lech
09182,1,7.5,7.5,Miesbach
09183,1,4.5,4.5,Mühldorf a. Inn
09184,4,39,39,München
09185,5,5880,5880,Neuburg-Schrobenhausen
09186,13,28352.8,28352.8,Pfaffenhofen a.d. Ilm
09187,1,5.5,5.5,Rosenheim
09188,5,12040,12040,Starnberg
09189,8,5346.3,5346.3,Traunstein
09190,3,619.4,619.4,Weilheim-Schongau
09271,1,6.5,6.5,Deggendorf
09272,7,231.6,231.6,Freyung-Grafenau
09273,6,4958,4958,Kelheim
09274,11,14497.4,14497.4,Landshut
09275,8,623.54,623.54,Passau
09276,3,46.5,46.5,Regen
09277,8,2150.8,2150.8,Rottal-Inn
09278,4,11407.2,11407.2,Straubing-Bogen
09279,5,1520,1520,Dingolfing-Landau
09362,1,500,500,Regensburg
09371,28,66049.9,66049.9,Amberg-Sulzbach
09372,9,796.1,796.1,Cham
09373,67,159969.5,159969.5,Neumarkt i.d. OPf.
09374,8,10810,10810,Neustadt a.d. Waldnaab
09375,14,29656.3,29656.3,Regensburg
09376,12,30001.55,30001.55,Schwandorf
09377,18,31810.6,31810.6,Tirschenreuth
09471,35,84675,84675,Bamberg
09472,51,125900,125900,Bayreuth
09473,13,26353.7,26353.7,Coburg
09474,1,1500,1500,Forchheim
09475,117,251667.5,251667.5,Hof
09476,17,27409.5,27409.5,Kronach
09477,31,67304.38,67304.38,Kulmbach
09478,6,12506,12506,Lichtenfels
09479,29,61295.3,61295.3,Wunsiedel i. Fichtelgebirge
09561,4,11730,11730,Ansbach
09564,2,11,11,Nürnberg
09565,1,1,1,Schwabach
09571,78,155056.625,155056.625,Ansbach
09572,16,40451.5,40451.5,Erlangen-Höchstadt
09573,21,51915,51915,Fürth
09574,10,30700,30700,Nürnberger Land
09575,63,157701.2,157701.2,Neustadt a.d. Aisch-Bad Windsheim
09576,9,21541,21541,Roth
09577,56,102025.1,102025.1,Weißenburg-Gunzenhausen
09663,1,2000,2000,Würzburg
09671,3,7.5,7.5,Aschaffenburg
09672,46,127542,127542,Bad Kissingen
09673,24,71200,71200,Rhön-Grabfeld
09674,18,37151.98,37151.98,Haßberge
09675,16,27710,27710,Kitzingen
09676,12,25300,25300,Miltenberg
09677,45,94025,94025,Main-Spessart
09678,47,106013.25,106013.25,Schweinfurt
09679,67,141041,141041,Würzburg
09762,1,0.4,0.4,Kaufbeuren
09771,13,27612,27612,Aichach-Friedberg
09772,9,16703.53,16703.53,Augsburg
