AGS,GEN,BEZ,EWZ,KFL_km2,Turbine_Count,Total_Bruttoleistung_kW,Total_Nettoleistung_kW,Landkreis_Names,Steuerkraft,Einwohnerdichte,Waldflaeche_Prozent,Landwirtschaft_Prozent,Siedlung_Verkehr_Prozent,Wasser_Prozent,Beschaeftigte_Primar,Beschaeftigte_Sekundar,Beschaeftigte_Tertiar,Windgeschwindigkeit_ms,Sonstige_Prozent,Wind_Density_kW_km2,Economic_Structure,Predicted_Wind_Density,Residuals,Residuals_Std,Performance_Class
03157,Peine,Landkreis,139170,536.5,100,220280,220280,Peine,846.409973144531,255.330001831055,10.5900001525879,67.9000015258789,18.2299995422363,2.27999997138977,0.889999985694885,31.0400009155273,68.0599975585938,8.21,0.9999988079071187,410.5871388630009,Dienstleistungsorientiert,326.2542691406991,84.33286972230192,0.5166188359046354,Normal
03158,Wolfenbüttel,Landkreis,120755,724.31,80,177540,177540,Wolfenbüttel,1048.63000488281,163.660003662109,19.4099998474121,67.0299987792969,12.1099996566772,1.16999995708466,1.39999997615814,23.2199993133545,75.379997253418,7.74,0.2800017595291422,245.11604147395454,Dienstleistungsorientiert,274.06217527227966,-28.946133798325057,-0.17732253148828736,Normal
03159,Göttingen,Landkreis,328952,1755.39,56,86950,86950,Göttingen,1040.32995605469,187.229995727539,42.4599990844727,42.0900001525879,13.8100004196167,1.0900000333786,0.550000011920929,22.0599994659424,77.4000015258789,6.73,0.550000309944096,49.53315217700909,Dienstleistungsorientiert,120.36158872189282,-70.82843654488366,-0.4338913706749686,Normal
03241,Region Hannover,Landkreis,1177676,2297.13,259,440077.9,440077.9,Region Hannover,1406.18005371094,495.809997558594,20.3999996185303,51.3699989318848,22.5599994659424,2.91000008583069,0.239999994635582,19.6599998474121,80.0999984741211,7.93,2.7600018978118186,191.57727250960983,Dienstleistungsorientiert,277.201949751941,-85.62467724233117,-0.5245323825372585,Normal
03251,Diepholz,Landkreis,223832,1991.05,407,841451.2,841451.2,Diepholz,1108.31005859375,110.870002746582,10.3199996948242,69.6800003051758,12.8000001907349,1.91999995708466,2.44000005722046,29.6599998474121,67.9000015258789,8.47,5.279999852180438,422.6168102257603,Dienstleistungsorientiert,368.0077740863437,54.60903613941667,0.33453215541127135,Normal
03252,Hameln-Pyrmont,Landkreis,150377,797.52,77,169105.6,169105.6,Hameln-Pyrmont,914.460021972656,188.75,31.9200000762939,51.6500015258789,14.6099996566772,1.37999999523163,1.08000004291534,27.9799995422363,70.9400024414063,7.47,0.4399987459183734,212.03932189788344,Dienstleistungsorientiert,210.46675050059716,1.5725713972863469,0.009633491749043972,Normal
03254,Hildesheim,Landkreis,278571,1208.33,82,150700.6,150700.6,Hildesheim,969.02001953125,222.059997558594,24.5599994659424,57.8800010681152,15.5100002288818,1.38999998569489,0.400000005960464,28.1499996185303,71.4499969482422,7.78,0.6599992513657185,124.71808198091583,Dienstleistungsorientiert,255.42208272773374,-130.70400074681788,-0.8006860069655951,Normal
03255,Holzminden,Landkreis,70706,694.25,39,51250,51250,Holzminden,963.909973144531,95.1900024414063,46.3400001525879,41.2400016784668,10.6800003051758,1.11000001430511,0.75,46.4900016784668,52.7599983215332,7.3,0.6299978494644023,73.82066978754051,Industriell,144.83703419245714,-71.01636440491656,-0.4350426071098716,Normal
03256,Nienburg (Weser),Landkreis,123888,1400.8,225,402995.9,402995.9,Nienburg (Weser),948.669982910156,86.8899993896484,19.4500007629395,63.0200004577637,11.4799995422363,2.29999995231628,2.26999998092651,33.1500015258789,64.5899963378906,8.23,3.74999928474422,287.6898201027984,Ausgeglichen,318.1139579189803,-30.424137816181762,-0.1863767083197154,Normal
03257,Schaumburg,Landkreis,160236,675.67,40,43250,43250,Schaumburg,862.330017089844,232.440002441406,26.1599998474121,53.189998626709,18.2000007629395,1.77999997138977,0.740000009536743,27.0200004577637,72.2399978637695,8.02,0.67000079154964,64.01053768851659,Dienstleistungsorientiert,275.7667119974559,-211.75617430893934,-1.297207466404681,Normal
