AGS,Jahr,Anlagen_kumuliert,Nettoleistung_kW_kumuliert,Wind_Density_kW_km2_kumuliert
01056,1971,0,0,0
01056,1972,0,0,0
01056,1973,0,0,0
01056,1974,0,0,0
01056,1975,0,0,0
01056,1976,0,0,0
01056,1977,0,0,0
01056,1978,0,0,0
01056,1979,0,0,0
01056,1980,0,0,0
01056,1981,0,0,0
01056,1982,0,0,0
01056,1983,0,0,0
01056,1984,0,0,0
01056,1985,0,0,0
01056,1986,0,0,0
01056,1987,0,0,0
01056,1988,0,0,0
01056,1989,0,0,0
01056,1990,0,0,0
01056,1991,0,0,0
01056,1992,0,0,0
01056,1993,0,0,0
01056,1994,0,0,0
01056,1995,0,0,0
01056,1996,0,0,0
01056,1997,0,0,0
01056,1998,0,0,0
01056,1999,0,0,0
01056,2000,0,0,0
01056,2001,6,7800,11.742213256657685
01056,2002,6,7800,11.742213256657685
01056,2003,6,7800,11.742213256657685
01056,2004,6,7800,11.742213256657685
01056,2005,6,7800,11.742213256657685
01056,2006,6,7800,11.742213256657685
01056,2007,6,7800,11.742213256657685
01056,2008,6,7800,11.742213256657685
01056,2009,6,7800,11.742213256657685
01056,2010,6,7800,11.742213256657685
01056,2011,10,16500,24.83929727369895
01056,2012,10,16500,24.83929727369895
01056,2013,10,16500,24.83929727369895
01056,2014,10,16500,24.83929727369895
01056,2015,10,16500,24.83929727369895
01056,2016,11,16510,24.854351393258767
01056,2017,12,16518,24.86639468890662
01056,2018,12,16518,24.86639468890662
01056,2019,12,16518,24.86639468890662
01056,2020,12,16518,24.86639468890662
01056,2021,12,16518,24.86639468890662
01056,2022,16,30918,46.544326855043884
01056,2023,16,30918,46.544326855043884
01057,1960,0,0,0
01057,1961,0,0,0
01057,1962,0,0,0
01057,1963,0,0,0
01057,1964,0,0,0
01057,1965,0,0,0
01057,1966,0,0,0
01057,1967,0,0,0
01057,1968,0,0,0
01057,1969,0,0,0
01057,1970,0,0,0
01057,1971,0,0,0
01057,1972,0,0,0
01057,1973,0,0,0
01057,1974,0,0,0
01057,1975,0,0,0
01057,1976,0,0,0
01057,1977,0,0,0
01057,1978,0,0,0
01057,1979,0,0,0
01057,1980,0,0,0
01057,1981,0,0,0
01057,1982,0,0,0
01057,1983,0,0,0
01057,1984,0,0,0
01057,1985,0,0,0
01057,1986,0,0,0
01057,1987,0,0,0
01057,1988,0,0,0
01057,1989,0,0,0
01057,1990,0,0,0
01057,1991,0,0,0
01057,1992,0,0,0
01057,1993,0,0,0
01057,1994,0,0,0
01057,1995,7,4100,3.7837538529688626
01057,1996,9,5300,4.891194005057311
01057,1997,9,5300,4.891194005057311
01057,1998,15,8900,8.213514461322653
01057,1999,27,19850,18.318905849129738
01057,2000,28,21600,19.933922737592056
01057,2001,30,24850,22.933239816164935
01057,2002,30,24850,22.933239816164935
01057,2003,35,33850,31.239040956828294
01057,2004,35,33850,31.239040956828294
01057,2005,35,33850,31.239040956828294
01057,2006,36,35850,33.084774543642375
01057,2007,36,35850,33.084774543642375
01057,2008,36,35850,33.084774543642375
01057,2009,36,35850,33.084774543642375
01057,2010,36,35850,33.084774543642375
01057,2011,36,35850,33.084774543642375
01057,2012,39,42750,39.45255541815094
01057,2013,39,42750,39.45255541815094
01057,2014,40,42760,39.46178408608502
01057,2015,40,42760,39.46178408608502
01057,2016,40,42760,39.46178408608502
01057,2017,40,42760,39.46178408608502
01057,2018,40,42760,39.46178408608502
01057,2019,40,42760,39.46178408608502
01057,2020,40,42760,39.46178408608502
01057,2021,41,42770,39.471012754019085
01057,2022,41,42770,39.471012754019085
01057,2023,41,42770,39.471012754019085
01058,1960,0,0,0
01058,1961,0,0,0
01058,1962,0,0,0
01058,1963,0,0,0
01058,1964,0,0,0
01058,1965,0,0,0
01058,1966,0,0,0
01058,1967,0,0,0
01058,1968,0,0,0
01058,1969,0,0,0
01058,1970,0,0,0
01058,1971,0,0,0
01058,1972,0,0,0
01058,1973,0,0,0
01058,1974,0,0,0
01058,1975,0,0,0
01058,1976,0,0,0
01058,1977,0,0,0
01058,1978,0,0,0
01058,1979,0,0,0
01058,1980,0,0,0
01058,1981,0,0,0
01058,1982,0,0,0
01058,1983,0,0,0
01058,1984,0,0,0
01058,1985,0,0,0
01058,1986,0,0,0
01058,1987,0,0,0
01058,1988,0,0,0
01058,1989,0,0,0
01058,1990,0,0,0
01058,1991,1,175,0.0799177988354835
01058,1992,2,255,0.11645164973170453
01058,1993,2,255,0.11645164973170453
01058,1994,5,2055,0.9384632948966777
01058,1995,5,2055,0.9384632948966777
01058,1996,5,2055,0.9384632948966777
01058,1997,6,3555,1.623472999200822
01058,1998,8,4305,1.9659778513528943
01058,1999,8,4305,1.9659778513528943
01058,2000,15,16805,7.67439205388743
01058,2001,41,54105,24.708300034250485
01058,2002,41,54105,24.708300034250485
01058,2003,41,54105,24.708300034250485
01058,2004,42,55605,25.39330973855463
01058,2005,44,59605,27.22000228336568
01058,2006,48,66105,30.18837766868364
01058,2007,49,67605,30.873387372987786
01058,2008,49,67605,30.873387372987786
01058,2009,49,67605,30.873387372987786
01058,2010,52,69917,31.92921566388857
01058,2011,57,71941,32.853522091562965
01058,2012,63,85463,39.02865623929672
01058,2013,75,110312,50.37652700079918
01058,2014,95,166292,75.94108916542984
01058,2015,140,280730,128.2018495262016
01058,2016,164,353930,161.63032309624387
01058,2017,166,360300,164.53933097385547
01058,2018,168,360335.8,164.55567987213152
01058,2019,168,360335.8,164.55567987213152
01058,2020,170,360350.4,164.5623472999201
01058,2021,177,390650.4,178.3995433268638
01058,2022,201,489961.9,223.7524374928645
01058,2023,217,557461.9,254.57787418655099
01059,1960,0,0,0
01059,1961,0,0,0
01059,1962,0,0,0
01059,1963,0,0,0
01059,1964,0,0,0
01059,1965,0,0,0
01059,1966,0,0,0
01059,1967,0,0,0
01059,1968,0,0,0
01059,1969,0,0,0
01059,1970,0,0,0
01059,1971,0,0,0
01059,1972,0,0,0
01059,1973,0,0,0
01059,1974,0,0,0
01059,1975,0,0,0
01059,1976,0,0,0
01059,1977,0,0,0
01059,1978,0,0,0
01059,1979,0,0,0
01059,1980,0,0,0
01059,1981,0,0,0
01059,1982,0,0,0
01059,1983,0,0,0
01059,1984,0,0,0
01059,1985,0,0,0
01059,1986,0,0,0
01059,1987,1,65,0.0313808036382421
01059,1988,2,265,0.12793712252514086
01059,1989,3,465,0.2244934414120396
01059,1990,5,695,0.3355332081319732
01059,1991,7,925,0.4465729748519068
01059,1992,11,1480,0.7145167597630508
01059,1993,15,2680,1.2938546730844434
01059,1994,31,11930,5.759584421603511
01059,1995,68,33230,16.04283238305823
01059,1996,71,35030,16.911839253040316
01059,1997,73,36230,17.49117716636171
01059,1998,74,36830,17.780846123022407
01059,1999,74,36830,17.780846123022407
01059,2000,74,36830,17.780846123022407
01059,2001,96,69180,33.39883070297828
01059,2002,104,79230,38.25078572704494
01059,2003,117,98730,47.665026818517575
01059,2004,125,112830,54.47224730004393
01059,2005,125,112830,54.47224730004393
01059,2006,125,112830,54.47224730004393
01059,2007,128,117630,56.7895989533295
01059,2008,139,142930,69.0039732925222
01059,2009,145,150956,72.87877836945344
01059,2010,153,167884,81.05130520004056
01059,2011,165,186969.6,90.26548159877953
01059,2012,179,214492.2,103.55288630976234
01059,2013,196,258637.2,124.86527979607307
01059,2014,283,511608.7,246.9952639125586
01059,2015,355,718348.2,346.8052893551486
01059,2016,368,754994.2,364.4973036647951
01059,2017,402,852110.2,411.38312098989536
01059,2018,407,865926.2,418.0532314986023
01059,2019,410,869782.2,419.91483732674175
01059,2020,413,873991.2,421.94686505771654
01059,2021,433,953707.2,460.43228263965665
01059,2022,459,1070007.2,516.5797820723883
01059,2023,491,1210615.7,584.4629778934308
01060,1960,0,0,0
01060,1961,0,0,0
01060,1962,0,0,0
01060,1963,0,0,0
01060,1964,0,0,0
01060,1965,0,0,0
01060,1966,0,0,0
01060,1967,0,0,0
01060,1968,0,0,0
01060,1969,0,0,0
01060,1970,0,0,0
01060,1971,0,0,0
01060,1972,0,0,0
01060,1973,0,0,0
01060,1974,0,0,0
01060,1975,0,0,0
01060,1976,0,0,0
01060,1977,0,0,0
01060,1978,0,0,0
01060,1979,0,0,0
01060,1980,0,0,0
01060,1981,0,0,0
01060,1982,0,0,0
01060,1983,0,0,0
01060,1984,0,0,0
01060,1985,0,0,0
01060,1986,0,0,0
01060,1987,0,0,0
01060,1988,0,0,0
01060,1989,0,0,0
01060,1990,0,0,0
01060,1991,0,0,0
01060,1992,0,0,0
01060,1993,0,0,0
01060,1994,1,80,0.05950344376180771
01060,1995,1,80,0.05950344376180771
01060,1996,1,80,0.05950344376180771
01060,1997,1,80,0.05950344376180771
01060,1998,1,80,0.05950344376180771
01060,1999,1,80,0.05950344376180771
01060,2000,1,80,0.05950344376180771
01060,2001,14,20880,15.530398821831813
01060,2002,18,28880,21.480743198012583
01060,2003,19,30380,22.596432768546478
01060,2004,21,33380,24.82781190961427
01060,2005,21,33380,24.82781190961427
01060,2006,21,33380,24.82781190961427
01060,2007,21,33380,24.82781190961427
01060,2008,21,33380,24.82781190961427
01060,2009,21,33380,24.82781190961427
01060,2010,29,50886,37.84865299079184
01060,2011,29,50886,37.84865299079184
01060,2012,32,50910.8,37.867099058358
01060,2013,38,62420.8,46.428157029588085
01060,2014,47,80585.8,59.93915772875355
01060,2015,50,89735.8,66.74486410901031
01060,2016,56,108385.8,80.61660443598173
01060,2017,64,131390.8,97.72756348273656
01060,2018,66,139050.8,103.42501822292964
01060,2019,66,139050.8,103.42501822292964
01060,2020,67,143250.8,106.54894902042454
01060,2021,68,147450.8,109.67287981791945
01060,2022,68,147450.8,109.67287981791945
01060,2023,83,207258.3,154.15728247772338
01061,1960,0,0,0
01061,1961,0,0,0
01061,1962,0,0,0
01061,1963,0,0,0
01061,1964,0,0,0
01061,1965,0,0,0
01061,1966,0,0,0
01061,1967,0,0,0
01061,1968,0,0,0
01061,1969,0,0,0
01061,1970,0,0,0
01061,1971,0,0,0
01061,1972,0,0,0
01061,1973,0,0,0
01061,1974,0,0,0
01061,1975,0,0,0
01061,1976,0,0,0
01061,1977,0,0,0
01061,1978,0,0,0
01061,1979,0,0,0
01061,1980,0,0,0
01061,1981,0,0,0
01061,1982,0,0,0
01061,1983,0,0,0
01061,1984,0,0,0
01061,1985,0,0,0
01061,1986,0,0,0
01061,1987,0,0,0
01061,1988,0,0,0
